Original,EN
"#愛吃的史小姐
#在地人_木柵之旅_前進政大
#遠離繁華
#好熱

店名：Purrson Bistro 呼嚕小酒館
地址：116台北市文山區指南路二段106號
捷運站：沒有
停車場：找不到，應該可以停在政大，但從走過來太遠了。

菜單：https://dl.gl/bRP7Mm2ae
價位（含服務費）：600
上菜速度：正常
服務：親切
座位：寬敞

心得：

我在Google 地圖尋找木柵的義式餐廳，出現了Purrson Bistro，作為年資僅近40的木柵人，我其實假日很少在自家周邊用餐 #假日總想要出去吃，所以對木柵的餐廳也不是很熟，也覺得木柵沒有什麼網紅名店。

要是看好了公車時刻，#呼嚕小酒館 對我們家來說還滿方便的，在巷口搭公車，然後在店門口下車，用餐後在對面回程。他店就在大馬路邊，反正我前後是沒有看到任何停車場，也不建議大家開車來。#把開車拿掉

店內移動的方式還挺可愛的。從大馬路邊上走樓梯往下，進入室內之後帶位往二樓走，然後你坐在一樓的室內，旁邊有一個大門，可以從那裡看到大馬路，但它純裝飾，不是進出的入口，店內的座位並不是很多，一樓有唯一的一張桌子，二樓有六張4-6人桌。

點餐方式是掃碼點餐，結帳方式是現金，不收服務費，我是第二組客人，因為餐廳的位置還滿偏的，本來以為不會再有客人，結果竟然客滿。
#而且好多人都是第一次來

說實話我覺得這三道菜都還好，網友太會拍照了，我還以為 #炸阿根廷巨魷佐塔塔 是多大一份，上來就小小的，還好我們只有兩個人，沒吃幾口就結束了，價錢有點不ok，塔塔醬還滿好吃的。

2. 超濃奶油培根義大利麵
培根奶蛋面小朋友應該會喜歡，一般的奶蛋麵都會偏鹹，他們家偏甜，醬汁還滿厚的，上面的水波蛋有點過熟了，然後真的是一個沒有味道的水波蛋。

3. 德國豬腳
豬腳加上配菜、還有薯條，還滿像回事的，但也就還好，德國豬腳也不太可能不好吃，薯條炸得還不錯。

我覺得如果點前菜作為主餐，小酌應該是相當不錯的選擇。

#氣溫影響食慾
看得出，我對這家店的評價不高，一半的原因是因為很熱。店家開了冷氣也開了電風扇，但就是一直都不涼，因為餐廳是我找的，媽媽不好說什麼，但他從頭到尾都拿扇子，我沒有去跟店家反應，覺得也不會有改善，但真的很熱，我大概是在28的室溫下吃飯的，而我覺得現在的28度並不適合吃飯。

是否適合聚餐：不推薦
滿分10分你打幾分：6.9分
會推薦朋友嗎：不會","#小 Miss Shi
#Stort
# #远
# #好 好

Shop Name: Purrson Bistro snoring tavern
Address: No. 106, Section 2, Guide Road Road, Wenshan District, Taipei City
MRT Station: No
Parking lot: If you can't find it, you should be able to stop at Zhengda University, but it's too far from walking.

Menu: https://dl.gl/brp7mm2ae
Price (including service fee): 600
Self -serving speed: normal
Service: Care
Seat: spacious

Experience:

I was looking for a Wagu -style restaurant in Google Map. Purrson Bistro appeared. As a wooden man with only nearly 40 years of age, I actually rarely eat on the surroundings of my own on holidays. The restaurant is not very familiar, I also feel that Muzha has no famous Internet celebrity shops.

If you are optimistic about the bus,#要 要 要 is still convenient for our home. Take a bus at the alley and get off at the door of the store.His shop is on the side of Morida. Anyway, I did not see any parking lots before and after, and it is not recommended that everyone drive.#把 把

The way to move in the store is quite cute.Take the stairs from the side of the road, enter the room, take the seat to the second floor, and then sit in the room on the first floor. There is a gate next to you. You can see the road from there, but it is purely decorated, not in and out of At the entrance, there are not many seats in the store. There are only tables on the first floor, and there are six 4-6 tables on the second floor.

The method of ordering is to scan the code and order meal. The checkout method is cash. I do n’t collect the service fee. I am the second group of guests. Because the restaurant is still full, I thought that there would be no guests, but it turned out to be full.
#And many people are here for the first time

To be honest, I think these three dishes are okay. Netizens will take pictures too much. I think#说 说 说 说 说 说 说 说 说 说 is small. Fortunately, we only have two people. The mouth is over, the price is a bit OK, and the Tata sauce is delicious.

2. Ultra -thick creamy bacon Italian noodles
Bacon milk noodles should like it. Generally, the milk egg noodles will be salty, their homes are sweet, the sauce is full, the water wave eggs above are a bit cooked, and then it is really a tasteless water wave egg.

3. German pig feet
Pig feet with side dishes and fries are full of things, but it is okay, German pig feet are unlikely not to be delicious, and the fries fried well.

I think that if you order the previous dish as the main meal, drinking should be a pretty good choice.

#Temperature affects appetite
It can be seen that my evaluation of this store is not high, because half of the reason is very hot.The store turned on the air -conditioning and turned on the electric fan, but it was not cold, because the restaurant was found, and the mother couldn't say anything, but he took a fan from beginning to end. I improve, but it is really hot. I eat at about 28 room temperature, and I think the current 28 degrees is not suitable for eating.

Is it suitable for dinner: not recommended
You can score a few points for full score: 6.9 points
Will you recommend friends: No"
"之前經過一直很想進去，這次終於有機會來。 環境、裝潢都很棒，餐也很好吃。
重點沒有服務費～～

下次還會再回訪","I have always wanted to go in before, and I finally had a chance to come.The environment and decoration are great, and the meals are delicious.
There is no service fee for the focus ~~

I will return to visit next time"
"2024.08造訪

燉飯出乎意外的好吃，很入味。
飲料就中規中矩沒特別出色。
屋內用心佈置，很溫馨。

線上QR code點餐，現金結帳。
若刷卡需要再另收3.5%手續費。

很受歡迎的親子餐廳，記得先訂位跟迅速送單，避免久候。

交通搭公車比較方便。
自行開車不太好整停車位，
搭捷運需要走一小段路。","2024.08 Visit

Stewed rice is unexpectedly delicious and delicious.
Drinks are not particularly good.
It is very warm in the house.

Over the QR code online, cash check out.
If you swipe your card, you need to charge another 3.5%handling fee.

Very popular parent -child restaurants, remember to book a place and send orders quickly to avoid waiting for a long time.

It is more convenient to connect to a bus.
Driving by yourself is not very good, the whole parking space is not good,
It takes a small section of the MRT."
"很開心木柵有親子+寵物餐廳，可以帶五個寶貝一起來吃飯❤️庭院有小朋友可以玩的吊椅，還有狗狗可以跑的草地，在等餐點的時候他們都玩到太開心不想進來吃飯了呢🤣

我們3大2小點了：無酒精特調「龍柱回桃」、黑糖奶蓋奶茶、蔬菜湯、田園時蔬、奶油菠菜濃湯、普羅旺斯燉菜、法式干貝燉飯、紅醬鮮蝦義大利麵、棉花糖麻糬鬆餅🎉

他們的特調真的是非常的華麗浮誇！竟然還有一整艘龍舟跟乾冰耶🥰小孩們從來沒有看過這樣的飲料，都覺得非常的有趣～而且他們超愛吃鬆餅的，上面還有很多裝飾的棒棒糖，就可以讓他們三個小孩ㄧ人一隻，邊吃邊玩得不亦樂乎‼️

平常最愛吃義大利麵的我，覺得他們的餐點都很道地，海鮮也都很新鮮～普羅旺斯燉菜裡面還有我沒有吃過的蔬菜，實在是讓人印象深刻😄","I am very happy that there are parent -child+pet restaurants, you can bring five treasures to eat together ❤️ There are hanging chairs that children can play in the courtyard, and grass that can run by dogs. When they are waiting for meals, they are too happy to have fun. Come in for dinner 了

We have 3 big and 2 small points: no alcoholic ""dragon pillar back to peach"", brown sugar milk tea milk tea, vegetable soup, pastoral vegetable vegetables, cream spinach soup, Provence stew, French scallop stew, red sauce fresh shrimp Italian Italian Italian Italian Italian Italy Noodles, cotton candy hemp pine cakes 🎉

Their special tunes are really gorgeous and exaggerated!There are still a whole dragon boat and dried Bingye children who have never seen such drinks, and they all feel very interesting ~ and they love to eat muffins. There are many decorative lollipops on it to make them three. One child, playing while eating, you're happy‼️ ️

I usually like Italian noodles the most, I think their meals are very authentic, and seafood is also very fresh ~ There are vegetables I have not eaten in Provence stew."
"氣氛很棒，餐點也好吃，工作人員很友善
這次從中午坐到晚餐時間，下次可以晚上去體驗夜晚的氛圍","The atmosphere is great, the meal is delicious, the staff is very friendly
From noon to dinner this time, you can experience the atmosphere at night next time"
聚會好吃好聊去處，額外拍到數道員工餐，可以事先預訂討論預算和人數另外特製餐食！,"The party is delicious and good, and you can make a few additional employee meals. You can pretend to discuss the budget and the number of special meals in advance!"
"這個月內第二次來囉！
餐點美味，氣氛佳🥰
推薦：紅醬鮮蝦義大利麵、酥炸鮮魚佐濃郁塔塔醬（份量多，照片是已經吃一半囉），拿鐵也不錯！","Come for the second time this month!
Meal delicious, good atmosphere
Recommended: red sauce fresh shrimp pasta, crispy fried fresh fish is rich in tower sauce (a large amount, the photo is half of the photo), Latte is also good!"
來很多次了！政大商圈超好吃餐廳！餐點好吃、餐廳氣氛好！朋友聚會、家庭聚餐好選擇！,"It's many times!Zhengda Business District is super delicious restaurant!The meals are delicious and the atmosphere of the restaurant is good!Friends gathering, family dinner good choice!"
"四訪（？
塔塔醬鮮蝦捲餅 蝦很大隻生菜新鮮 餅皮烤的焦焦的 份量蠻剛好 吃完身心都很舒服的一道料理
-
溫沙拉好粗喔～布丁也可以點🍮💓","Four visits (?
Tatta sauce fresh shrimp cake shrimp is very large, only lettuce fresh cake skin grilled coke the coke the amount of scorching is just a dish that is very comfortable after eating
-
Wimrat is so thick ~ Pudding can also be ordered 🍮💓"
"很喜歡這間店的餐點跟氣氛～ 服務也很好👍🏻
時不時會跟三五好友或是自己一個人來吃吃喝喝放鬆一下","I really like the meal and atmosphere of this shop ~ The service is also very good 👍🏻
From time to time, you will come with three or five friends or yourself to eat, drink, drink, drink, relax,"
