Original,EN
"不少人在評論中有提到義大利麵太軟的問題，點餐時有請服務人員幫忙調整硬一點，不過麵條還是軟到捲一捲自動斷掉，整個碎碎地不方便食用的程度。這點老實說滿扣分的，沒奢望彈牙但不能過軟應該是基礎工。培根蛋黃麵的蛋黃沒什麼存在感，培根味倒是很重，調味平衡上差強人意。
奶油燻鮭選擇燉飯的確算是安全牌，口感上好很多，意外地清淡。如果是在意口感的客人，理論上燉飯應該比義大利麵好入口。

套餐午餐是+99元，晚餐+150元
麵包和黑糖優格沒什麼特色，沙拉倒是菜葉塞得很滿，食用時會掉落到盤子那種。沒特別想吃沙拉的話不特別要點。

原本想說店名叫餐酒館，但飲料單壓倒性多數的無酒精飲料，好妙。隨性點了兩款，有點微妙，果汁mix的還可以，加了氣泡水的特調就不怎麼順口。選擇雖多但感覺還不到完成品的協調性。

不過這天用餐體驗真正的困境在於：店家接了幼兒數量達二位數的大型聚餐訂位
而且是入席點餐後一陣子才陸續出現，說真的我也很希望入店時服務人員可以據實以告，我一定三秒內消失。隔壁桌訂位的兩位先生也覺得吵到不行，一直拿手機錄影那團人的失控狀態。其實不用多加描述大家也可以想像十來個幼兒會是怎樣的阿鼻叫喚，拍打尖叫大喊翻滾，這種聚餐通常都是家長放風放空讓半獸人互相交流的，而且還為了併桌，有兩位成人直接佔用中央走道坐著不動，想去洗手間、加水還是結帳都有勉強擠過。
覺得店家要走親子友善路線是OK的，但是請標明事先告知清楚，對於我們這種不需要的會自己迴避地遠遠的，而且看店名「餐酒館」真的料想不到會變成育兒場所。接這麼大訂位不如請他們包場比較實際，不要傷害其他客人，從他們入席開始一直思考是否要改打包，但老實說吃一半被中斷感覺真的很差.....

女性外場態度非常良好，辛苦她了。

義大利麵不OK，但燉飯真的還可以，只是被吵到暫時沒有回訪的勇氣
整體2.5星","Many people have mentioned in the comments that the pastoral noodles are too soft. When ordering, ask the service staff to help to adjust the hard, but the noodles are still soft enough to turn off. EssenceThis is honest. It is a basic work without expectation of elasticity but not being soft.There is no sense of existence on the egg yolk on the bacon egg yolk noodles. The bacon flavor is very heavy, and the flavor and balance are unsatisfactory.
Cream smoked salmon is really a safety card for stewed rice. It tastes much better and unexpectedly light.If you are a guest who cares, theoretically stewed rice should be better than the pasta.

The package lunch is +99 yuan, dinner +150 yuan
There is no special feature of bread and brown sugar yogurt. Salad is full of vegetable leaves, and it will fall to the plate when eating.If you don't want to eat salads, don't take special points.

Originally I wanted to say that the store was called a restaurant, but the drink -free drink without alcoholic drinks was wonderful.I ordered two models casually, which is a bit delicate. The juice MIX is okay. The special tone of bubble water is not very smooth.Although there are many choices, it can't feel the coordination of completion.

However, the real dilemma of dining this day is that the store will pick up the large -scale dinner with a two -digit number of children in the number of children.
And it was only a while after a meal for meals. Seriously, I also hope that the service staff can sue when entering the store. I will disappear within three seconds.The two gentlemen at the table next door also felt noisy, and kept taking the control of the group of people with their mobile phones.In fact, you don't need to add more descriptions. You can also imagine what a dozen children will be screaming, and shouting and rolling. This kind of dinner is usually for parents to open the wind and empty to make the half orcs communicate with each other. Adults directly occupy the central walkway and sit still. They want to go to the bathroom, add water or checkout.
It is OK to think that the store is going to take the parent -child friendly route, but please indicate that informing it in advance, for us who do not need us, you will avoid it yourself, and it is expected that the store name ""Restaurant"" really will not expect to become a childcare place.It is more practical to ask them to contract such a big booking. Do n’t hurt other guests. From the time they entered the table, they have been thinking about whether to change the packaging, but honestly, it ’s really bad to be interrupted by half of them ...

Women have a good attitude outside the field and have worked hard.

The pasta is not OK, but the stewed rice is really okay, but the courage to be rejected for the time being.
Overall 2.5 star"
"· 青醬雞肉義大利麵$248

上菜速度迅速，座位基本上僅能由店家安排，如果是兩人用餐，和隔壁桌的位置靠蠻近的。

雞肉給的很大方，唯獨麵條太濕軟，不像傳統的義大利麵，以這樣的價位來說稍嫌可惜～","· Green sauce chicken pasta $ 248

The food is fast, and the seat can basically only be arranged by the store. If the two people eat, it is very close to the location of the next table.

The chicken is very generous, but the noodles are too humid, unlike the traditional pasta, it is a pity at this price ~"
"小店內佈置好漂亮又乾淨
餐點義麵超級好吃
連前菜超好吃
非常推薦
大家要來喔","The small shop is well -arranged beautiful and clean
Meals are super delicious
The pre -dishes are super delicious
Very recommended
Everyone comes"
"香蒜雞胸義大利麵醬汁濃郁，肉也有不少塊。
雞腿排口感外酥內嫩，跟薯球很搭。
加點套餐的麵包外皮酥脆，香蒜內餡香氣十足，優格也好吃，搭配飲料紅茶整體十分有飽足感。
是一間餐點價格與品質相稱的店。","Garlic chicken breasts have rich sauce, and there are many pieces of meat.
Chicken legs are crispy and tender, and they are very delicious with potato balls.
The crispy of the bread with some package is crispy, the garlic is full of aroma, and the yogurt is also delicious. It is very full with beverage black tea.
It is a shop that is commensurate with quality and quality."
"燉飯上放的生菜沙拉感覺是怕客人吃到最後會膩放的，但吃起來苜蓿芽、紫生菜的味道完全破壞整體餐點的平衡，牛五花分量很夠，牛味十足，吃不出奶油或其他配料的味道
整體感覺是家庭餐廳或親子餐廳的氛圍，感受不到餐酒館的氣氛
沒有收服務費，點餐到櫃檯、水、餐具自取","The lettuce salad put on the stewed rice feels that the guests will be bored at the end, but the taste of buds and purple lettuce completely destroys the balance of the overall meals. The taste of cream or other ingredients
Overall feeling is the atmosphere of a family restaurant or a parent -child restaurant.
There is no service fee, order to go to the counter, water, and tableware to pick it up"
"2024.07.02 朋友聚餐
♡奶油燻鮭燉飯($228)｜最害怕奶油燉飯吃到最後會膩，但這間的不會！
◇加套餐($99)｜莎拉、麵包、優格，都不錯。
〔給自己的小備註〕
//主餐份量很夠了，除非很餓，不然其實可以不用加套餐。
//其實是二訪，上次點義大利麵是偏軟的扁麵，個人比較喜歡硬一點的。","2024.07.02 Friends dinner
鲑 Cream Smoked salmon stew ($ 228) ｜ The most afraid of cream stew will be tired when you eat it, but this will not be!
◇ Put the package ($ 99) ｜ Sarah, bread, yogurt, are all good.
[Remarks for your own]
// The main meal is enough, unless you are hungry, you can actually not add a package.
// In fact, it is a second visit. The last time the Italian noodles were soft flat noodles. I personally prefer a more hard ones."
"2024/03/17 （日）初訪

餐點很美味！很喜歡扁義大利麵的口感
奶油松露嫩雞義大利麵，嫩雞是沒有骨頭的，可以安心的大口品嚐覺得很滿足👍
套餐的麵包也出奇的好吃！
如果有機會會想再訪的店家

唯一小缺點是店家周遭假日超級不好找車位～","2024/03/17 (Sun) First visit

The meal is delicious!I really like the taste of Bian Yili noodles
Cream truffle tender chicken pasta, tender chicken has no bones, you can taste it with peace of mind and feel very satisfied.
The package of the package is also surprisingly delicious!
If you have a chance, you will want to visit the store

The only small disadvantage is that the store is super hard to find a parking space on the surrounding holidays ~"
"不知道是不是我搞錯了
白醬義大麵是否用成甜點用的鮮奶油？","I don’t know if I'm wrong
Is the white sauce spaghetti used into dessert cream?"
"過年走春第一吃😋
來到了台北知名的餐酒館✨

從門口到進店裡的感覺
就能感受老闆🈵️🈵️的用心

今天點了
#香嫩去骨雞腿排
#蟹肉辣奶炸蝦義大利麵
#泰式月亮魚餅
#粉紅檸汁氣泡飲
#JB招牌紅茶

從前菜的新鮮蔬菜跟開胃的優格
在搭配入口即化的雞腿肉👍

老闆特制的酸辣醬配魚排超搭
帶一點微辣的蟹奶炸蝦義大利麵
會讓你一口接一口🦐

檸檬紅石榴氣泡飲順口又好拍
最後配上JN招牌紅茶大大的滿足☺️

店內氣氛超級好聊天
很適合朋友跟員工還有家庭聚餐❤️

#真心會讓人想回顧的好店🫶","New Year's Eve Spring 第一 第一 第一 第一 第一 第一 第一 第一 第一 第一
Come to the well -known restaurant in Taipei ✨

The feeling of from the door to entering the store
You can feel the boss 🈵️ 老️ The intention of

Order today
#鸡 排
#Crab meat spicy milk fried shrimp pasta
#
#泡
#Jb signature black tea

Fresh vegetables and appetizers from the front dish
The chicken leg meat that is melted at the entrance 👍 👍 👍 👍 👍 👍 👍

The boss specially made of hot and sour sauce with fish steak
With a little spicy crab milk fried shrimp pasta
Will let you take a bite 口

Lemon red pomegranate air bubble drink smooth mouth and take good shooting
Finally, with the great satisfaction of JN signature black tea ☺ ️ ️ ️

The atmosphere in the store is super easy to chat
Very suitable for friends, employees and family dinner ❤️

# # #🫶 🫶 🫶"
"價位配合餐點的分量及質量真的是非常佛心。所以建議要先訂位以免要等待。豬腳、雞排及羊排的水準都很棒。
餐廳本身家庭客居多, 也導致小孩也很多, 建議怕吵的顧客可以慎選時段，畢竟這牽涉到家庭教養問題，商家也很為難。吃完就快點離開就是。
點菜方式為客戶自行填寫，也很彈性的開放顧客進行配餐的更換選擇。所以在key 單及上菜時候會需要多點時間確認。","The price and quality of the price are really Buddha.Therefore, it is recommended to order first to avoid waiting.The standards of pig feet, chicken chops and lamb chops are great.
Most of the restaurants themselves, and there are many children. It is recommended that customers who are afraid of noisy can choose the time. After all, this involves the problem of family education, and it is difficult for merchants to be difficult.Just leave after eating.
The ordering method is to fill in the customer by themselves, and it is also very flexible to open customers to replace the meal.Therefore, it takes more time to confirm when the key order and food."
